dataset,id,seed,severity,truth,fault_k,budget,bacd_exact,bacd_f1,bacd_probes,bacd_confidence,random_probe_exact,random_probe_f1,shapley_exact,shapley_f1,exhaustive_probes
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,1,1.0,1,1.0,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.0,0,0.5,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,S+R+E,3,4,0,0.8,3,0.9142336461520691,1,1.0,0,0.6666666666666666,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,R+E+A,3,4,1,1.0,4,0.6386003470448214,1,1.0,1,1.0,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.5,1,1.0,32
hotpotqa,5a7e37095542995ed0d166d5,13,0.25,R+E+A+G,4,4,1,1.0,4,0.8833867037974126,1,1.0,0,0.75,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,S,1,4,1,1.0,3,0.999991518811802,0,0.0,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,1,1.0,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.0,0,0.5,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,0,0.6666666666666666,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,S+R+E,3,4,0,0.8,3,0.9142336461520691,0,0.5,0,0.6666666666666666,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,R+E+A,3,4,1,1.0,4,0.6386003470448214,1,1.0,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5a9030ef5542995651fb50e4,13,0.25,R+E+A+G,4,4,1,1.0,4,0.8833867037974126,0,0.6666666666666666,0,0.75,32
hotpotqa,5a77253455429972597f1449,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,S+R,2,4,1,1.0,4,0.8797720168631828,1,1.0,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5a77253455429972597f1449,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,S+R+E,3,4,0,0.8,4,0.8797720168631828,0,0.8,0,0.6666666666666666,32
hotpotqa,5a77253455429972597f1449,13,0.25,R+E+A,3,4,1,1.0,4,0.6946067063460292,1,1.0,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5a77253455429972597f1449,13,0.25,R+E+A+G,4,4,0,0.8571428571428571,4,0.5394351870527084,0,0.6666666666666666,0,0.75,32
hotpotqa,5adc368155429944faac2468,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,S+R,2,4,1,1.0,3,0.9545516109610958,0,0.6666666666666666,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5adc368155429944faac2468,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,A+G,2,4,0,0.6666666666666666,4,0.9649545352152001,0,0.6666666666666666,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,S+R+E,3,4,0,0.8,3,0.9698527481497643,1,1.0,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,R+E+A,3,4,1,1.0,3,0.9866024382120566,1,1.0,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,E+A+G,3,4,0,0.8571428571428571,4,0.9649545352152001,0,0.5,1,1.0,32
hotpotqa,5adc368155429944faac2468,13,0.25,R+E+A+G,4,4,1,1.0,4,0.6330989953604764,1,1.0,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,0,0.0,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,0,0.8,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,S+R+E,3,4,0,0.8,3,0.9142336461520691,0,0.8,0,0.6666666666666666,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,R+E+A,3,4,1,1.0,4,0.6386003470448214,1,1.0,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5a7cf4e355429907fabef062,13,0.25,R+E+A+G,4,4,1,1.0,4,0.8833867037974126,0,0.8571428571428571,0,0.75,32
hotpotqa,5adf6f075542993344016c91,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,A,1,4,1,1.0,3,0.9992557744202644,1,1.0,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,G,1,4,1,1.0,4,0.7607229873092142,1,1.0,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,S+R,2,4,1,1.0,3,0.9142336461520691,1,1.0,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,R+E,2,4,0,0.6666666666666666,3,0.9118138896028464,0,0.6666666666666666,0,0.5,32
hotpotqa,5adf6f075542993344016c91,13,0.25,E+A,2,4,0,0.6666666666666666,3,0.9992557744202644,0,0.6666666666666666,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,A+G,2,4,1,1.0,3,0.9975157512413491,1,1.0,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,S+R+E,3,4,0,0.8,3,0.9142336461520691,0,0.8,0,0.6666666666666666,32
hotpotqa,5adf6f075542993344016c91,13,0.25,R+E+A,3,4,1,1.0,4,0.6386003470448214,1,1.0,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,E+A+G,3,4,0,0.8,3,0.9975157512413491,0,0.8,1,1.0,32
hotpotqa,5adf6f075542993344016c91,13,0.25,R+E+A+G,4,4,1,1.0,4,0.8833867037974126,1,1.0,0,0.75,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,S,1,4,1,1.0,3,0.999991518811802,1,1.0,1,1.0,32
hotpotqa,5ae00a27554299025d62a3bb,13,0.25,R,1,4,1,1.0,3,0.9118138896028464,1,1.0,1,1.0,32
